Product Name(PN),  Search Result by PN  ,Company Name(CN),Search Result by CN,Designer (D),Search Result by D,Search Result by PN+CN,Search Result by PN only in HK,Search Result by PN only in China,Search Result by PN only in Amazon.com
spire rpg,2020,Grant Howitt,"7,840",Grant Howitt,"25,900","29,200","83,000","191,000",167
2017 skeleton sock monkey project,8,Stacey Jean,"57,400",Stacey Jean Kitchen,6,"205,000","189,000","333,000",15
gastromix food truck,8,Kevin Lopez,"388,000",Kevin Lopez,"383,000","382,000",53,76,1
half past two camp slushtone mastering karate 12 r,6,Half Past Two,"881,000",Maxwell Beckman,"1,270","370,000",7,5,0
junia issue two,9,El Robertson,"14,200",Elizabeth Hannah Robertson,131,"36,400",6,"17,400",985
digital farm lab,984,Urban AgTech & Homebrew,"130,000",Adrian Lu,"17,600",625,"566,000","418,000","225,000"
twist your spirits cocktail kits,312,Judy Sachs,"6,940",Judith Sachs,"54,500","7,520","1,420,000","592,000","3,650"
11th orchard bitters handcrafted chicago bitters,65,Chris and Janie,"14,300",Christopher Udouj,65,"15,100","95,500","111,000",31
inscribed at kansas city public library,5,Jeramy Zimmerman,"6,810",Jeramy Zimmerman,"2,180","2,190","385,000","148,000",261
spinneroo connected smart and interactive fidget s,52,Spinneroo,"20,000",Alan Sawyer,"127,000","20,300",384,203,0
help chloe levine fund her debut album cathexis,6,Chloe Levine,"42,600",Edward Cava,"1,690","697,000",782,549,0
art ala carte returns,97,Aria Leighty,"2,690",Aria Leighy,"757,000","2,750","1,970,000","662,000","13,800"
xas irkalla,910,James Vail,"20,200",James Robert Jr Martin,8,"72,000","10,400","29,600",0
sohrab and rustum,158000,Lee Whitmore,"17,900",Laurinda Lee Stiles,"36,200","173,000","58,200","17,700",111
crash annual 2018 the next chapter,851,Chris Wilkins,"72,400",Christopher Mark Wilkins,535,"83,400","344,000","880,000",200
dlight kinetic lighting transformable lampshade,848,I2M USA INC.,124,SUNG HWA CHUNG,"2,580","1,260",9,"35,900",1
cortometraje sacapiojos,89,Danae Reynaud,"15,400",Danae Reynaud Romero,750,"16,200",357,199,0
diesel demolition derby,3360,LudiCreations,"84,100",Iraklis Constadinos Grous,2,"90,300","637,000","427,000",110
cat pinball enamel pins badge with moving parts,8,Kim Petty,"9,810",Kimberly Petty,"35,400","41,200",5,5,1
team woo hoo pedal tavern for red bull flugtag nas,8,Donnie Sinclair,"1,820",Donnie Sinclair,882,881,672,582,0
